"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisD[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","vbatLatest","amperageLatest","BaroAlt","gyroADC[0]","gyroADC[1]","gyroADC[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
11,111434318,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,1,0,3,105,-63,2074,104,143,143,85,1,8,0,1,1,-0.029309373516018703,-0.049483186743014294,4.395134874378892,0,0,0,0,0,0,0,1,0,3,"",""
12,111435818,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,1,0,3,106,-63,2074,103,135,135,85,1,8,0,1,1,-0.029370995005184614,-0.04960215541686861,4.395056266961948,0,0,0,0,0,0,0,1,0,3,"",""
13,111437305,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,1,1,2,106,-62,2074,105,127,126,85,1,8,0,1,1,-0.02938639669648439,-0.049680661680352685,4.3950050767211115,0,0,0,0,0,0,0,1,1,2,"",""
14,111438791,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,0,1,1,107,-61,2075,89,108,112,85,1,8,0,1,1,-0.02938774695891388,-0.0497784786609113,4.394979873990219,0,0,0,0,0,0,0,0,1,1,"",""
15,111440279,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,0,1,1,108,-60,2075,85,101,104,88,1,8,0,1,1,-0.029358516780881142,-0.04989285092387304,4.394954632052833,0,0,0,0,0,0,0,0,1,1,"",""
16,111441751,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,0,1,0,108,-58,2076,91,93,97,85,1,8,0,1,1,-0.02927330119780599,-0.0499918353208858,4.394955364920548,0,0,0,0,0,0,0,0,1,0,"",""
17,111443234,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,0,1,-1,108,-57,2076,90,85,98,94,1,8,0,1,1,-0.02916919491445693,-0.05007897345351073,4.394982001595964,0,0,0,0,0,0,0,0,1,-1,"",""
18,111444724,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-1,108,-55,2076,93,85,90,98,1,8,0,1,1,-0.029049121015748657,-0.05015558597843239,4.3950087522541725,0,0,0,0,0,0,0,-1,1,-1,"",""
19,111446207,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-2,108,-54,2076,106,85,92,102,1,8,0,1,1,-0.028916467221191476,-0.05022414458454875,4.395061273891551,0,0,0,0,0,0,0,-1,1,-2,"",""
20,111447693,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-2,108,-53,2076,117,85,99,113,1,8,0,1,1,-0.02877426675936417,-0.050285004451607065,4.3951138934144955,0,0,0,0,0,0,0,-1,1,-2,"",""
21,111449177,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-3,108,-52,2077,120,85,97,118,1,8,0,1,1,-0.02862185269461766,-0.050338881381909825,4.395192355974688,0,0,0,0,0,0,0,-1,1,-3,"",""
22,111450647,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-3,107,-52,2077,138,85,103,118,1,8,0,1,1,-0.028483445604088553,-0.050365974269593564,4.395270076540946,0,0,0,0,0,0,0,-1,1,-3,"",""
23,111452131,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-4,107,-52,2076,144,85,105,124,1,8,0,1,1,-0.028357004243054568,-0.050391357954088875,4.39537445849645,0,0,0,0,0,0,0,-1,1,-4,"",""
24,111453631,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,-1,1,-4,106,-51,2076,144,85,98,124,1,8,0,1,1,-0.028222053616901256,-0.05039397532107509,4.395479958643728,0,0,0,0,0,0,0,-1,1,-4,"",""
25,111455128,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,53,-1,0,-4,104,-51,2076,163,85,111,123,1,8,0,1,1,-0.028098270577691077,-0.050382893583469486,4.39558451201021,0,0,0,0,0,0,0,-1,0,-4,"",""
26,111456754,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,53,-1,0,-4,103,-50,2075,156,85,106,128,1,8,0,1,1,-0.027968432998764024,-0.050355724985316916,4.395698077886063,0,0,0,0,0,0,0,-1,0,-4,"",""
