"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisD[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","vbatLatest","amperageLatest","BaroAlt","gyroADC[0]","gyroADC[1]","gyroADC[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
11,177370008,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,8,0,2,53,219,2076,119,83,308,148,1,8,0,1,1,0.1121918759677777,-0.031037520557089016,4.396697359279241,0,0,0,3,-1,0,0,5,1,2,"",""
12,177371340,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,9,1,1,50,217,2076,108,83,278,165,1,8,0,1,1,0.11176224094105144,-0.030470638139329254,4.396671708438138,0,0,0,3,-1,0,0,6,2,1,"",""
13,177372672,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,9,1,1,48,217,2076,126,83,316,177,1,8,0,1,1,0.11140839472871109,-0.029914089491973953,4.396646070151406,0,0,0,3,-1,0,0,6,2,1,"",""
14,177374006,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,9,1,1,45,217,2076,134,83,322,221,1,8,0,1,1,0.11111552326244509,-0.029333578727540752,4.396620403376236,0,0,0,3,-1,0,0,6,2,1,"",""
15,177375333,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,9,0,0,43,218,2076,143,83,337,210,1,8,0,1,1,0.11090167030654484,-0.028782870306311364,4.39662046696887,0,0,0,3,-1,0,0,6,1,0,"",""
16,177376680,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,8,0,1,42,219,2076,226,83,355,233,1,8,0,1,1,0.11073343777263217,-0.028270636347940584,4.396597145404048,0,0,0,3,-1,0,0,5,1,1,"",""
17,177378039,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,8,0,1,41,220,2077,308,83,354,259,1,8,0,1,1,0.11061942516259976,-0.027787571420904943,4.396573607103986,0,0,0,3,-1,0,0,5,1,1,"",""
18,177379387,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,8,-1,1,41,220,2077,137,83,373,195,1,8,0,1,1,0.11052578986458927,-0.02737746339747357,4.39655285212937,0,0,0,3,-1,0,0,5,0,1,"",""
19,177380717,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,-1,2,42,219,2076,211,83,387,243,1,8,0,1,1,0.11040425858061953,-0.02703660202936788,4.396509285222118,0,0,0,3,-1,0,0,4,0,2,"",""
20,177382050,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,-1,3,44,217,2076,115,83,331,208,1,8,0,1,1,0.11025558980376035,-0.026778281615711885,4.396442478928431,0,0,0,3,-1,0,0,4,0,3,"",""
21,177383382,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,-1,4,48,214,2076,119,83,362,218,1,8,0,1,1,0.1100609876701717,-0.026635685556308228,4.396352595544717,0,0,0,3,-1,0,0,4,0,4,"",""
22,177384722,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,-1,3,52,210,2076,105,83,323,196,1,8,0,1,1,0.10980748766552205,-0.026589406302958352,4.396285408739059,0,0,0,3,-1,0,0,4,0,3,"",""
23,177386071,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,8,0,3,56,207,2076,100,83,302,189,1,8,0,1,1,0.10954465634253695,-0.02660730881172679,4.396215174288693,0,0,0,3,-1,0,0,5,1,3,"",""
24,177387438,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,0,2,60,205,2076,110,83,301,237,1,8,0,1,1,0.10925141196075716,-0.026699726154633986,4.396167721006852,0,0,0,3,-1,0,0,4,1,2,"",""
25,177388929,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,0,1,63,205,2075,113,83,304,227,1,8,0,1,1,0.10900403353370516,-0.026839729340415112,4.396141837190907,0,0,0,3,-1,0,0,4,1,1,"",""
